regionidzip,zipcode,city,county,state,ziplat,ziplon,rentprice
96489,91745,Hacienda Heights,Los Angeles,CA,33.999309999999994,-117.97325,2.833333333
96210,90710,Harbor City,Los Angeles,CA,33.79809,-118.29907,2.833333333
96216,90716,Hawaiian Gardens,Los Angeles,CA,33.83032,-118.073,2.833333333
96087,90211,Beverly Hills,Los Angeles,CA,34.06496,-118.38293999999999,2.94309964
96086,90210,Beverly Hills,Los Angeles,CA,34.10103,-118.41476000000002,4.179728318
96107,90250,Hawthorne,Los Angeles,CA,33.91437,-118.3493,2.0863636359999997
96374,91351,Canyon Country,Los Angeles,CA,34.433209999999995,-118.46293,2.833333333
96088,90212,Beverly Hills,Los Angeles,CA,34.06218,-118.40193000000001,3.081372927
96106,90249,Gardena,Los Angeles,CA,33.9015,-118.31708,2.833333333
96104,90247,Gardena,Los Angeles,CA,33.8914,-118.29737,2.833333333
96474,91723,Covina,Los Angeles,CA,34.084759999999996,-117.88643,2.833333333
96473,91722,Covina,Los Angeles,CA,34.09726,-117.90616000000001,2.833333333
96097,90232,Culver City,Los Angeles,CA,34.01879,-118.39182,4.308456927
96095,90230,Culver City,Los Angeles,CA,33.99722,-118.3946,2.7322404369999997
96505,91765,Diamond Bar,Los Angeles,CA,33.98822,-117.81446000000001,1.4196342640000001
96101,90241,Downey,Los Angeles,CA,33.940870000000004,-118.12923,2.833333333
96102,90242,Downey,Los Angeles,CA,33.92214,-118.14147,2.833333333
96100,90240,Downey,Los Angeles,CA,33.9568,-118.11868999999999,2.833333333
399675,91008,Duarte,Los Angeles,CA,34.15344,-117.96823,2.833333333
96270,91010,Duarte,Los Angeles,CA,34.14074,-117.95671000000002,2.833333333
96478,91731,El Monte,Los Angeles,CA,34.07877,-118.04063000000001,2.833333333
96479,91732,El Monte,Los Angeles,CA,34.07343,-118.01445,2.833333333
96103,90245,El Segundo,Los Angeles,CA,33.91695,-118.40206,2.833333333
96349,91316,Encino,Los Angeles,CA,34.16039,-118.51669,2.067697552
96426,91436,Encino,Los Angeles,CA,34.15087,-118.49229,2.833333333
96092,90222,Compton,Los Angeles,CA,33.91238,-118.2365,2.833333333
96090,90220,Compton,Los Angeles,CA,33.880790000000005,-118.23607,2.833333333
96091,90221,Compton,Los Angeles,CA,33.88615,-118.20593999999998,2.833333333
96017,90036,Los Angeles,Los Angeles,CA,34.070159999999994,-118.34987,2.872289157
96469,91711,Claremont,Los Angeles,CA,34.12853,-117.71561000000001,1.6731016730000001
96346,91311,Chatsworth,Los Angeles,CA,34.28937,-118.60741999999999,2.244389027
96206,90703,Cerritos,Los Angeles,CA,33.86786,-118.06873999999999,2.833333333
96398,91384,Castaic,Los Angeles,CA,34.53072,-118.6864,2.833333333
96230,90746,Carson,Los Angeles,CA,33.85888,-118.25525,2.833333333
96229,90745,Carson,Los Angeles,CA,33.82124,-118.26441000000001,2.833333333
96105,90248,Gardena,Los Angeles,CA,33.87669,-118.2835,2.833333333
96109,90254,Hermosa Beach,Los Angeles,CA,33.86546,-118.39665,3.460912052
96485,91740,Glendora,Los Angeles,CA,34.118790000000004,-117.85396000000001,2.833333333
96083,90201,Bell Gardens,Los Angeles,CA,33.97074,-118.17083999999998,2.833333333
96208,90706,Bellflower,Los Angeles,CA,33.888020000000004,-118.12708,2.833333333
96533,91803,Alhambra,Los Angeles,CA,34.074940000000005,-118.14621000000001,2.050092635
96531,91801,Alhambra,Los Angeles,CA,34.090759999999996,-118.12756,2.050092635
97316,93532,Lake Hughes,Los Angeles,CA,34.68472,-118.54413999999998,2.833333333
96212,90712,Lakewood,Los Angeles,CA,33.84901,-118.14672,2.833333333
96215,90715,Lakewood,Los Angeles,CA,33.84032,-118.0788,2.833333333
96213,90713,Lakewood,Los Angeles,CA,33.84798,-118.11265,2.833333333
97317,93534,Lancaster,Los Angeles,CA,34.71569,-118.15122,1.590047393
97318,93535,Lancaster,Los Angeles,CA,34.71306,-117.87825,1.0252088990000001
97319,93536,Lancaster,Los Angeles,CA,34.74709,-118.36875,0.96738745
96111,90260,Lawndale,Los Angeles,CA,33.888290000000005,-118.35125,2.833333333
97323,93543,Littlerock,Los Angeles,CA,34.48918,-117.97085,2.833333333
97324,93544,Llano,Los Angeles,CA,34.49303,-117.75431999999999,2.833333333
96217,90717,Lomita,Los Angeles,CA,33.79383,-118.31719,2.833333333
96241,90807,Long Beach,Los Angeles,CA,33.82795,-118.1746,1.9021739130000002
96247,90815,Long Beach,Los Angeles,CA,33.79572,-118.11641000000002,2.517564403
96246,90814,Long Beach,Los Angeles,CA,33.77162,-118.14358,2.303252886
96245,90813,Long Beach,Los Angeles,CA,33.78237,-118.19684,2.0714285709999998
96236,90802,Long Beach,Los Angeles,CA,33.750209999999996,-118.21141000000001,2.605979284
96242,90808,Long Beach,Los Angeles,CA,33.82396,-118.11226,1.9021739130000002
96240,90806,Long Beach,Los Angeles,CA,33.8045,-118.18761,1.9021739130000002
96239,90805,Long Beach,Los Angeles,CA,33.864909999999995,-118.18054,1.9021739130000002
96238,90804,Long Beach,Los Angeles,CA,33.78185,-118.14863000000001,2.212124604
96237,90803,Long Beach,Los Angeles,CA,33.76161,-118.12218,2.5527777780000003
96244,90810,Long Beach,Los Angeles,CA,33.818940000000005,-118.22111000000001,1.9021739130000002
96336,91301,Agoura Hills,Los Angeles,CA,34.12274,-118.75726999999999,2.833333333
95982,90001,Los Angeles,Los Angeles,CA,33.97397,-118.24953000000001,1.624883937
96494,91750,La Verne,Los Angeles,CA,34.16084,-117.77278000000001,2.833333333
96490,91746,La Puente,Los Angeles,CA,34.044259999999994,-117.98625,2.833333333
96265,91001,Altadena,Los Angeles,CA,34.195440000000005,-118.13796,2.833333333
96475,91724,Covina,Los Angeles,CA,34.08072,-117.85502,2.833333333
96488,91744,La Puente,Los Angeles,CA,34.028890000000004,-117.93732,2.833333333
96207,90704,Avalon,Los Angeles,CA,33.382509999999996,-118.43439,2.833333333
96204,90701,Artesia,Los Angeles,CA,33.86763,-118.08062,2.833333333
96268,91007,Arcadia,Los Angeles,CA,34.12865,-118.04815,1.739995996
96267,91006,Arcadia,Los Angeles,CA,34.13599,-118.02675,1.707498144
96137,90305,Inglewood,Los Angeles,CA,33.959590000000006,-118.33015,2.147406652
96133,90301,Inglewood,Los Angeles,CA,33.956520000000005,-118.35864,2.147406652
96134,90302,Inglewood,Los Angeles,CA,33.97472,-118.35548999999999,2.147406652
96271,91011,La Canada Flintridge,Los Angeles,CA,34.22161,-118.20516,2.833333333
96135,90303,Inglewood,Los Angeles,CA,33.9381,-118.3323,2.147406652
96330,91214,La Crescenta,Los Angeles,CA,34.236709999999995,-118.24925,2.833333333
96136,90304,Inglewood,Los Angeles,CA,33.937979999999996,-118.35853999999999,2.147406652
96110,90255,Huntington Park,Los Angeles,CA,33.97703,-118.2173,2.833333333
96464,91702,Azusa,Los Angeles,CA,34.265570000000004,-117.86721999999999,2.833333333
96465,91706,Baldwin Park,Los Angeles,CA,34.09641,-117.96816000000001,2.833333333
96190,90638,La Mirada,Los Angeles,CA,33.902409999999996,-118.0092,2.833333333
97001,92701,Santa Ana,Orange,CA,33.74823,-117.85847,2.270588235
97004,92704,Santa Ana,Orange,CA,33.72053,-117.90805,2.270588235
97005,92705,Santa Ana,Orange,CA,33.75567,-117.81638999999998,2.210017575
97006,92706,Santa Ana,Orange,CA,33.76591,-117.8822,2.270588235
97007,92707,Santa Ana,Orange,CA,33.70984,-117.87088,2.270588235
96959,92627,Costa Mesa,Orange,CA,33.64788,-117.92043999999999,2.358109742
97035,92821,Brea,Orange,CA,33.92738,-117.88519,1.872093108
97003,92703,Santa Ana,Orange,CA,33.74873,-117.90611000000001,2.270588235
97018,92782,Tustin,Orange,CA,33.73969,-117.78472,1.781609195
97023,92804,Anaheim,Orange,CA,33.818259999999995,-117.97503999999999,1.9421991280000002
97016,92780,Tustin,Orange,CA,33.73402,-117.81916000000001,2.215055617
97024,92805,Anaheim,Orange,CA,33.83038,-117.90578000000001,2.454959054
97025,92806,Anaheim,Orange,CA,33.83856,-117.87071,2.028387321
96203,90680,Stanton,Orange,CA,33.80118,-117.99495,2.3389998025
97026,92807,Anaheim,Orange,CA,33.84967,-117.78921000000001,1.8804577409999998
96956,92624,Capistrano Beach,Orange,CA,33.45922,-117.6657,2.3389998025
97021,92802,Anaheim,Orange,CA,33.808279999999996,-117.92366000000001,1.8804577409999998
96974,92656,Aliso Viejo,Orange,CA,33.576229999999995,-117.73038999999999,1.896185592
97059,92861,Villa Park,Orange,CA,33.81773,-117.81013,2.3389998025
96986,92676,Silverado,Orange,CA,33.75038,-117.63462,2.3389998025
97020,92801,Anaheim,Orange,CA,33.844440000000006,-117.95223,1.8804577409999998
97027,92808,Anaheim,Orange,CA,33.85647,-117.74013000000001,1.8804577409999998
96225,90740,Seal Beach,Orange,CA,33.75962,-118.07346000000001,2.3389998025
96181,90621,Buena Park,Orange,CA,33.87427,-117.9935,2.3389998025
96180,90620,Buena Park,Orange,CA,33.846109999999996,-118.01168999999999,2.3389998025
96989,92679,Trabuco Canyon,Orange,CA,33.63389,-117.58963,2.3389998025
97037,92823,Brea,Orange,CA,33.92942,-117.80683,1.872093108
96990,92683,Westminster,Orange,CA,33.7525,-117.99396999999999,2.3389998025
96957,92625,Corona Del Mar,Orange,CA,33.60216,-117.86558000000001,3.1416268869999997
97043,92835,Fullerton,Orange,CA,33.90187,-117.91734,1.872036625
96985,92675,San Juan Capistrano,Orange,CA,33.50209,-117.60457,2.3389998025
96958,92626,Costa Mesa,Orange,CA,33.67892,-117.90841999999999,2.0944148940000002
96975,92657,Newport Coast,Orange,CA,33.5956,-117.83209,2.577969476
96981,92663,Newport Beach,Orange,CA,33.62365,-117.93046000000001,2.358569926
96980,92662,Newport Beach,Orange,CA,33.605470000000004,-117.89204,2.358569926
96978,92660,Newport Beach,Orange,CA,33.63374,-117.87449,2.54906959
96979,92661,Newport Beach,Orange,CA,33.60262,-117.90038,2.358569926
96996,92692,Mission Viejo,Orange,CA,33.60678,-117.64303999999998,1.793828982
96995,92691,Mission Viejo,Orange,CA,33.610640000000004,-117.66626000000001,1.838235294
96973,92655,Midway City,Orange,CA,33.74522,-117.98488,2.3389998025
96965,92647,Huntington Beach,Orange,CA,33.7235,-118.00674,2.20019595
96966,92648,Huntington Beach,Orange,CA,33.68244,-118.01245,2.173913043
96967,92649,Huntington Beach,Orange,CA,33.72635,-118.05096,2.135795455
96964,92646,Huntington Beach,Orange,CA,33.66538,-117.96762,2.012334802
96940,92603,Irvine,Orange,CA,33.62445,-117.78873999999999,2.05026455
96941,92604,Irvine,Orange,CA,33.68809,-117.7889,2.096890817
96943,92606,Irvine,Orange,CA,33.700390000000006,-117.81725,2.251819646
96939,92602,Irvine,Orange,CA,33.74581,-117.74866999999999,1.8596059109999998
96218,90720,Los Alamitos,Orange,CA,33.79557,-118.0636,2.3389998025
96962,92630,Lake Forest,Orange,CA,33.64468,-117.68518,1.9375
97079,92887,Yorba Linda,Orange,CA,33.88471,-117.73123999999999,1.7031171440000001
96963,92637,Laguna Woods,Orange,CA,33.61015,-117.73161999999999,1.875306075
96987,92677,Laguna Niguel,Orange,CA,33.52765,-117.70518,1.726166794
96971,92653,Laguna Hills,Orange,CA,33.59158,-117.69847,2.118918919
97066,92868,Orange,Orange,CA,33.78815,-117.8761,2.376812952
96969,92651,Laguna Beach,Orange,CA,33.55925,-117.77646999999999,3.3240997230000002
96183,90623,La Palma,Orange,CA,33.850390000000004,-118.04071,2.3389998025
96186,90631,La Habra,Orange,CA,33.942479999999996,-117.95133,2.080701754
96948,92614,Irvine,Orange,CA,33.68166,-117.83305,2.0907158040000002
96952,92618,Irvine,Orange,CA,33.66816,-117.73421,1.695308871
96954,92620,Irvine,Orange,CA,33.71257,-117.75068,1.669702489
96947,92612,Irvine,Orange,CA,33.660759999999996,-117.82641000000001,2.026635785
96998,92694,Ladera Ranch,Orange,CA,33.54725,-117.62371999999999,1.80344143
97067,92869,Orange,Orange,CA,33.79602,-117.78663999999999,2.376812952
97078,92886,Yorba Linda,Orange,CA,33.89646,-117.79716,1.7031171440000001
97008,92708,Fountain Valley,Orange,CA,33.71052,-117.9512,2.158314351
97050,92843,Garden Grove,Orange,CA,33.76398,-117.93144,2.3389998025
97051,92844,Garden Grove,Orange,CA,33.76543,-117.96945,2.3389998025
97065,92867,Orange,Orange,CA,33.81573,-117.82218,2.376812952
97039,92831,Fullerton,Orange,CA,33.87973,-117.89635,1.872036625
